Wind_speed,SWT93/2300,SWT82/2300,V27/225,SWT101/3000,NM48/750
0,0,0,0,0,0
0.5,0,0,0,0,0
1,0,0,0,0,0
1.5,0,0,0,0,0
2,0,0,0,0,0
2.5,0,0,0,0,0
3,0,0,0,0,0
3.5,0.145749591,0.214223309,0.133015533,0.237644162,0.208692007
4,0.199037095,0.377917253,0.222775039,0.359798831,0.279614681
4.5,0.263754931,0.406534522,0.31292406,0.409236938,0.363307306
5,0.313412071,0.416378705,0.387806787,0.412450454,0.3793812
5.5,0.401601065,0.417722041,0.42847791,0.418889347,0.403351006
6,0.437297433,0.396875128,0.422447481,0.405672887,0.401816653
6.5,0.46997239,0.384617134,0.446482954,0.422214821,0.41052577
7,0.477890484,0.374890791,0.440613954,0.420036056,0.404340764
7.5,0.489951159,0.370114405,0.459622859,0.430383083,0.424185828
8,0.487734768,0.391072601,0.456688829,0.427858123,0.428159981
8.5,0.482943707,0.387857704,0.459679266,0.433358858,0.432722643
9,0.471461939,0.390575523,0.449828336,0.429642878,0.428358952
9.5,0.442919091,0.403155629,0.439015256,0.426871141,0.423706539
10,0.415799757,0.415154062,0.422025033,0.41856385,0.413382345
10.5,0.391364641,0.414429538,0.406436352,0.405227304,0.39806068
11,0.368375078,0.408981161,0.387772509,0.390259117,0.379822197
11.5,0.338188146,0.382279532,0.361859755,0.368468572,0.355347584
12,0.311699601,0.357896321,0.338288022,0.339161402,0.331912983
12.5,0.280571101,0.329027352,0.309515441,0.307789114,0.306940865
13,0.251614641,0.303513086,0.282945593,0.27659152,0.28345827
13.5,0.224680126,0.276373791,0.258452094,0.248060034,0.260024749
14,0.201456766,0.252493411,0.233816367,0.222642874,0.238039321
14.5,0.181326783,0.229071406,0.210452946,0.200529618,0.21689542
15,0.163791812,0.208642924,0.190101366,0.181137661,0.197776642
15.5,0.14844681,0.189096001,0.172291527,0.164167596,0.179968573
16,0.134960294,0.171916472,0.156638699,0.149252834,0.163836727
16.5,0.123059213,0.156756517,0.14282597,0.136091406,0.14899089
17,0.112517274,0.143327879,0.1305907,0.124433056,0.135681132
17.5,0.103145864,0.131390296,0.11971398,0.114069198,0.123545668
18,0.094786928,0.120742433,0.110012365,0.104825035,0.112766415
18.5,0.087307345,0.111214715,0.10133135,0.09655335,0.103020177
19,0.080594455,0.102663635,0.093540182,0.089129553,0.094316449
19.5,0.074552486,0.094967194,0.086527704,0.082447729,0.086642417
20,0.069099671,0.088021234,0.080199014,0.076417451,0.079634261
20.5,0.064165913,0.081736466,0.074472757,0.0709612,0.073429028
21,0.059690894,0.076036051,0.069278924,0.066012267,0.067728286
21.5,0.05562251,0.070853622,0.064557044,0.061513035,0.062841999
22,0.051915605,0.066131656,0.060254706,0.057413562,0.058317833
22.5,0.048530907,0.061820126,0.056326331,0.053670418,0.054515734
23,0.045434155,0.05787539,0.052732153,0.050245714,0.05096355
23.5,0.042595368,0.054259258,0.049437378,0.047106295,0.047848225
24,0.039988235,0.050938214,0.046411466,0.044223062,0.044984306
24.5,0.037589601,0.047882761,0.043627544,0.041570407,0.042468519
25,0.035379031,0.045066872,0.041061895,0.039125735,0.040085561
25.5,0,0,0,0,0
